DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2022-07-15                06:37:21.678              194.94261203              4678.622689               195.94261203              1657867041.679            0                         963                       1.3998670445E+002         4.4999870300E+001         3.4187500000E+001         4.5304893494E+001         4.4999687195E+001         1.0000000000E+000         3.0000000000E+000         3.0784325988E+004         0.0000000000E+000         2.1165048580E+000         2.1542301959E+000         4.6792434351E+002         4.7822914739E+002         1.3893117558E+000         1.7245327898E+000         
2022-07-15                06:37:22.187              194.94261791              4678.622830               195.94261791              1657867042.187            0                         963                       1.4002006061E+002         4.4999870300E+001         3.4170673077E+001         4.5304893494E+001         4.4999687195E+001         3.0000000000E+000         3.0000000000E+000         3.0791778771E+004         0.0000000000E+000         2.1165048580E+000         2.1545303671E+000         4.6792434351E+002         4.7820219025E+002         1.3897060418E+000         1.7250026019E+000         
2022-07-15                06:37:23.628              194.94263459              4678.623230               195.94263459              1657867043.629            0                         963                       1.3998838479E+002         4.4999870300E+001         3.4181282723E+001         4.5304893494E+001         4.4999687195E+001         2.0000000000E+000         3.0000000000E+000         3.0784019480E+004         0.0000000000E+000         2.1162510738E+000         2.1545303671E+000         4.6792434351E+002         4.7820219025E+002         1.3897060418E+000         1.7250026019E+000         
2022-07-15                06:37:24.545              194.94264520              4678.623485               195.94264520              1657867044.545            0                         963                       1.3999231834E+002         4.4999839277E+001         3.4187500000E+001         4.5304846959E+001         4.4999671683E+001         1.0000000000E+000         3.0000000000E+000         3.0785329808E+004         0.0000000000E+000         2.1162510738E+000         2.1545303671E+000         4.6794608298E+002         4.7820219025E+002         1.3897060418E+000         1.7250026019E+000         
2022-07-15                06:37:25.052              194.94265106              4678.623626               195.94265106              1657867045.052            0                         963                       1.3999974060E+002         4.4999748230E+001         3.4187500000E+001         4.5304710388E+001         4.4999626160E+001         3.0000000000E+000         3.0000000000E+000         3.0788003906E+004         0.0000000000E+000         2.1162510738E+000         2.1542814261E+000         4.6794608298E+002         4.7822695092E+002         1.3899877928E+000         1.7253383166E+000         
2022-07-15                06:37:26.476              194.94266756              4678.624021               195.94266756              1657867046.477            0                         963                       1.3999417324E+002         4.4999748230E+001         3.4187500000E+001         4.5304710388E+001         4.4999626160E+001         2.0000000000E+000         3.0000000000E+000         3.0787282841E+004         0.0000000000E+000         2.1162355116E+000         2.1542814261E+000         4.6794608298E+002         4.7822695092E+002         1.3899877928E+000         1.7253383166E+000         
2022-07-15                06:37:27.375              194.94267796              4678.624271               195.94267796              1657867047.376            0                         963                       1.4001717705E+002         4.4999748230E+001         3.4187500000E+001         4.5304710388E+001         4.4999626160E+001         1.0000000000E+000         3.0000000000E+000         3.0791703834E+004         0.0000000000E+000         2.1162355116E+000         2.1542814261E+000         4.6797396487E+002         4.7822695092E+002         1.3899877928E+000         1.7253383166E+000         
2022-07-15                06:37:27.877              194.94268376              4678.624410               195.94268376              1657867047.877            0                         963                       1.4000758362E+002         4.4999748230E+001         3.4187500000E+001         4.5304710388E+001         4.4999626160E+001         3.0000000000E+000         3.0000000000E+000         3.0791169922E+004         0.0000000000E+000         2.1162355116E+000         2.1542662699E+000         4.6797396487E+002         4.7825563090E+002         1.3897553414E+000         1.7250613443E+000         
2022-07-15                06:37:29.292              194.94270014              4678.624803               195.94270014              1657867049.292            0                         963                       1.3999004538E+002         4.4999748230E+001         3.4186177249E+001         4.5304711680E+001         4.4999626160E+001         2.0000000000E+000         3.0000000000E+000         3.0785707817E+004         0.0000000000E+000         2.1160793396E+000         2.1542662699E+000         4.6797396487E+002         4.7825563090E+002         1.3897553414E+000         1.7250613443E+000         
2022-07-15                06:37:30.191              194.94271056              4678.625053               195.94271056              1657867050.192            0                         963                       1.3999425937E+002         4.4999748230E+001         3.4125000000E+001         4.5304771423E+001         4.4999626160E+001         1.0000000000E+000         3.0000000000E+000         3.0784358131E+004         0.0000000000E+000         2.1160793396E+000         2.1542662699E+000         4.6796973102E+002         4.7825563090E+002         1.3897553414E+000         1.7250613443E+000         
2022-07-15                06:37:30.693              194.94271635              4678.625193               195.94271635              1657867050.693            0                         963                       1.3999574280E+002         4.4999748230E+001         3.4125000000E+001         4.5304771423E+001         4.4999626160E+001         3.0000000000E+000         3.0000000000E+000         3.0784656250E+004         0.0000000000E+000         2.1160793396E+000         2.1541135162E+000         4.6796973102E+002         4.7825298826E+002         1.3904353871E+000         1.7258716276E+000         
2022-07-15                06:37:32.124              194.94273292              4678.625590               195.94273292              1657867052.124            0                         963                       1.3998999023E+002         4.4999748230E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         2.0000000000E+000         3.0000000000E+000         3.0785857422E+004         0.0000000000E+000         2.1162008940E+000         2.1541135162E+000         4.6796973102E+002         4.7825298826E+002         1.3904353871E+000         1.7258716276E+000         
2022-07-15                06:37:33.036              194.94274348              4678.625844               195.94274348              1657867053.037            0                         963                       1.3999656188E+002         4.4999748230E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         1.0000000000E+000         3.0000000000E+000         3.0786818867E+004         0.0000000000E+000         2.1162008940E+000         2.1541135162E+000         4.6797551388E+002         4.7825298826E+002         1.3904353871E+000         1.7258716276E+000         
2022-07-15                06:37:33.542              194.94274934              4678.625984               195.94274934              1657867053.543            0                         963                       1.4000634766E+002         4.4999748230E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         3.0000000000E+000         3.0000000000E+000         3.0788189453E+004         0.0000000000E+000         2.1162008940E+000         2.1542527480E+000         4.6797551388E+002         4.7826308970E+002         1.3908692226E+000         1.7263885323E+000         
2022-07-15                06:37:34.983              194.94276601              4678.626384               195.94276601              1657867054.983            0                         963                       1.4000288966E+002         4.4999647570E+001         3.4187500000E+001         4.5304771423E+001         4.4999611780E+001         2.0000000000E+000         3.0000000000E+000         3.0788265789E+004         0.0000000000E+000         2.1162509193E+000         2.1542527480E+000         4.6797551388E+002         4.7826308970E+002         1.3908692226E+000         1.7263885323E+000         
2022-07-15                06:37:35.898              194.94277660              4678.626638               195.94277660              1657867055.898            0                         963                       1.3998694471E+002         4.4999534607E+001         3.4187500000E+001         4.5304771423E+001         4.4999595642E+001         1.0000000000E+000         3.0000000000E+000         3.0784643128E+004         0.0000000000E+000         2.1162509193E+000         2.1542527480E+000         4.6799254972E+002         4.7826308970E+002         1.3908692226E+000         1.7263885323E+000         
2022-07-15                06:37:36.407              194.94278249              4678.626780               195.94278249              1657867056.407            0                         963                       1.4000834656E+002         4.4999534607E+001         3.4187500000E+001         4.5304771423E+001         4.4999595642E+001         3.0000000000E+000         3.0000000000E+000         3.0788593750E+004         0.0000000000E+000         2.1162509193E+000         2.1542998244E+000         4.6799254972E+002         4.7827945885E+002         1.3901587075E+000         1.7255419639E+000         
2022-07-15                06:37:37.828              194.94279895              4678.627175               195.94279895              1657867057.829            0                         963                       1.3999861549E+002         4.4999534607E+001         3.4187500000E+001         4.5304771423E+001         4.4999595642E+001         2.0000000000E+000         3.0000000000E+000         3.0787453507E+004         0.0000000000E+000         2.1161739985E+000         2.1542998244E+000         4.6799254972E+002         4.7827945885E+002         1.3901587075E+000         1.7255419639E+000         
2022-07-15                06:37:38.730              194.94280939              4678.627425               195.94280939              1657867058.731            0                         963                       1.3999793896E+002         4.4999534607E+001         3.4187500000E+001         4.5304771423E+001         4.4999595642E+001         1.0000000000E+000         3.0000000000E+000         3.0786097940E+004         0.0000000000E+000         2.1161739985E+000         2.1542998244E+000         4.6798078091E+002         4.7827945885E+002         1.3901587075E+000         1.7255419639E+000         
2022-07-15                06:37:39.236              194.94281523              4678.627566               195.94281523              1657867059.236            0                         963                       1.4000675964E+002         4.4999534607E+001         3.4187500000E+001         4.5304771423E+001         4.4999595642E+001         3.0000000000E+000         3.0000000000E+000         3.0788797326E+004         0.0000000000E+000         2.1161739985E+000         2.1542114519E+000         4.6798078091E+002         4.7826470717E+002         1.3901452809E+000         1.7255259659E+000         
2022-07-15                06:37:40.657              194.94283168              4678.627960               195.94283168              1657867060.657            0                         963                       1.4000378935E+002         4.4999687195E+001         3.4187500000E+001         4.5304710388E+001         4.4999534607E+001         2.0000000000E+000         3.0000000000E+000         3.0788551215E+004         0.0000000000E+000         2.1161330699E+000         2.1542114519E+000         4.6798078091E+002         4.7826470717E+002         1.3901452809E+000         1.7255259659E+000         
2022-07-15                06:37:41.556              194.94284209              4678.628210               195.94284209              1657867061.557            0                         963                       1.4000576936E+002         4.4999687195E+001         3.4187500000E+001         4.5304710388E+001         4.4999534607E+001         1.0000000000E+000         3.0000000000E+000         3.0788904210E+004         0.0000000000E+000         2.1161330699E+000         2.1542114519E+000         4.6797815745E+002         4.7826470717E+002         1.3901452809E+000         1.7255259659E+000         
2022-07-15                06:37:42.058              194.94284789              4678.628349               195.94284789              1657867062.058            0                         963                       1.3999775696E+002         4.4999687195E+001         3.4187500000E+001         4.5304710388E+001         4.4999534607E+001         3.0000000000E+000         3.0000000000E+000         3.0787591797E+004         0.0000000000E+000         2.1161330699E+000         2.1541647291E+000         4.6797815745E+002         4.7826065743E+002         1.3897949984E+000         1.7251085969E+000         
2022-07-15                06:37:43.483              194.94286439              4678.628745               195.94286439              1657867063.483            0                         963                       1.4001010435E+002         4.4999687195E+001         3.4187500000E+001         4.5304710388E+001         4.4999534607E+001         2.0000000000E+000         3.0000000000E+000         3.0791079679E+004         0.0000000000E+000         2.1164737548E+000         2.1541647291E+000         4.6797815745E+002         4.7826065743E+002         1.3897949984E+000         1.7251085969E+000         
2022-07-15                06:37:44.392              194.94287492              4678.628998               195.94287492              1657867064.393            0                         963                       1.3997179763E+002         4.4999713160E+001         3.4187500000E+001         4.5304702970E+001         4.4999553154E+001         1.0000000000E+000         3.0000000000E+000         3.0780022920E+004         0.0000000000E+000         2.1164737548E+000         2.1541647291E+000         4.6794197091E+002         4.7826065743E+002         1.3897949984E+000         1.7251085969E+000         
2022-07-15                06:37:44.903              194.94288082              4678.629140               195.94288082              1657867064.903            0                         963                       1.3999114990E+002         4.4999900818E+001         3.4187500000E+001         4.5304649353E+001         4.4999687195E+001         3.0000000000E+000         3.0000000000E+000         3.0782173828E+004         0.0000000000E+000         2.1164737548E+000         2.1545259243E+000         4.6794197091E+002         4.7822756755E+002         1.3911796063E+000         1.7267583395E+000         
2022-07-15                06:37:46.329              194.94289734              4678.629536               195.94289734              1657867066.330            0                         963                       1.3999842060E+002         4.4999900818E+001         3.4187500000E+001         4.5304649353E+001         4.4999687195E+001         2.0000000000E+000         3.0000000000E+000         3.0788497812E+004         0.0000000000E+000         2.1162129256E+000         2.1545259243E+000         4.6794197091E+002         4.7822756755E+002         1.3911796063E+000         1.7267583395E+000         
2022-07-15                06:37:47.246              194.94290795              4678.629791               195.94290795              1657867067.247            0                         963                       1.4000398819E+002         4.4999900818E+001         3.4158494475E+001         4.5304649353E+001         4.4999687195E+001         1.0000000000E+000         3.0000000000E+000         3.0789819784E+004         0.0000000000E+000         2.1162129256E+000         2.1545259243E+000         4.6797153818E+002         4.7822756755E+002         1.3911796063E+000         1.7267583395E+000         
2022-07-15                06:37:47.753              194.94291381              4678.629931               195.94291381              1657867067.753            0                         963                       1.4000248542E+002         4.4999900818E+001         3.4187500000E+001         4.5304649353E+001         4.4999687195E+001         3.0000000000E+000         3.0000000000E+000         3.0790479117E+004         0.0000000000E+000         2.1162129256E+000         2.1542594535E+000         4.6797153818E+002         4.7825752711E+002         1.3897265418E+000         1.7250270285E+000         
2022-07-15                06:37:49.174              194.94293025              4678.630326               195.94293025              1657867069.174            0                         963                       1.4000308647E+002         4.4999900818E+001         3.4187500000E+001         4.5304649353E+001         4.4999687195E+001         2.0000000000E+000         3.0000000000E+000         3.0789771443E+004         0.0000000000E+000         2.1161607637E+000         2.1542594535E+000         4.6797153818E+002         4.7825752711E+002         1.3897265418E+000         1.7250270285E+000         
2022-07-15                06:37:50.076              194.94294071              4678.630577               195.94294071              1657867070.077            0                         963                       1.4001046821E+002         4.4999936962E+001         3.4187500000E+001         4.5304812000E+001         4.4999687195E+001         1.0000000000E+000         3.0000000000E+000         3.0791910964E+004         0.0000000000E+000         2.1161607637E+000         2.1542594535E+000         4.6796439816E+002         4.7825752711E+002         1.3897265418E+000         1.7250270285E+000         
2022-07-15                06:37:50.578              194.94294650              4678.630716               195.94294650              1657867070.578            0                         963                       1.4000958252E+002         4.4999961853E+001         3.4187500000E+001         4.5304924011E+001         4.4999687195E+001         3.0000000000E+000         3.0000000000E+000         3.0791115234E+004         0.0000000000E+000         2.1161607637E+000         2.1541806669E+000         4.6796439816E+002         4.7824328057E+002         1.3893326836E+000         1.7245577265E+000         
2022-07-15                06:37:52.007              194.94296306              4678.631113               195.94296306              1657867072.008            0                         963                       1.3998847808E+002         4.4999961853E+001         3.4187500000E+001         4.5304924011E+001         4.4999687195E+001         2.0000000000E+000         3.0000000000E+000         3.0785425843E+004         0.0000000000E+000         2.1164842144E+000         2.1541806669E+000         4.6796439816E+002         4.7824328057E+002         1.3893326836E+000         1.7245577265E+000         
2022-07-15                06:37:52.907              194.94297346              4678.631363               195.94297346              1657867072.907            0                         963                       1.3999685192E+002         4.4999961853E+001         3.4187500000E+001         4.5304924011E+001         4.4999687195E+001         1.0000000000E+000         3.0000000000E+000         3.0785314082E+004         0.0000000000E+000         2.1164842144E+000         2.1541806669E+000         4.6798133654E+002         4.7824328057E+002         1.3893326836E+000         1.7245577265E+000         
2022-07-15                06:37:53.408              194.94297927              4678.631502               195.94297927              1657867073.409            0                         963                       1.4001989746E+002         4.4999961853E+001         3.4187500000E+001         4.5304924011E+001         4.4999687195E+001         3.0000000000E+000         3.0000000000E+000         3.0792328125E+004         0.0000000000E+000         2.1164842144E+000         2.1545226193E+000         4.6798133654E+002         4.7826402399E+002         1.3906388716E+000         1.7261140760E+000         
2022-07-15                06:37:54.845              194.94299590              4678.631902               195.94299590              1657867074.846            0                         963                       1.3999755652E+002         4.4999971759E+001         3.4187500000E+001         4.5304874480E+001         4.4999637664E+001         2.0000000000E+000         3.0000000000E+000         3.0786606675E+004         0.0000000000E+000         2.1165280740E+000         2.1545226193E+000         4.6798133654E+002         4.7826402399E+002         1.3906388716E+000         1.7261140760E+000         
2022-07-15                06:37:55.763              194.94300653              4678.632157               195.94300653              1657867075.764            0                         963                       1.3999752361E+002         4.4999992371E+001         3.4187500000E+001         4.5304771423E+001         4.4999534607E+001         1.0000000000E+000         3.0000000000E+000         3.0786057310E+004         0.0000000000E+000         2.1165280740E+000         2.1545226193E+000         4.6799454693E+002         4.7826402399E+002         1.3906388716E+000         1.7261140760E+000         
2022-07-15                06:37:56.273              194.94301243              4678.632298               195.94301243              1657867076.274            0                         963                       1.3999150085E+002         4.4999992371E+001         3.4187500000E+001         4.5304771423E+001         4.4999534607E+001         3.0000000000E+000         3.0000000000E+000         3.0784900391E+004         0.0000000000E+000         2.1165280740E+000         2.1545580037E+000         4.6799454693E+002         4.7827501870E+002         1.3886667831E+000         1.7237642494E+000         
2022-07-15                06:37:57.703              194.94302898              4678.632696               195.94302898              1657867077.704            0                         963                       1.3999544409E+002         4.4999992371E+001         3.4187500000E+001         4.5304771423E+001         4.4999534607E+001         2.0000000000E+000         3.0000000000E+000         3.0788222748E+004         0.0000000000E+000         2.1162986721E+000         2.1545580037E+000         4.6799454693E+002         4.7827501870E+002         1.3886667831E+000         1.7237642494E+000         
2022-07-15                06:37:58.621              194.94303961              4678.632951               195.94303961              1657867078.622            0                         963                       1.4000796382E+002         4.4999992371E+001         3.4187500000E+001         4.5304771423E+001         4.4999534607E+001         1.0000000000E+000         3.0000000000E+000         3.0790522693E+004         0.0000000000E+000         2.1162986721E+000         2.1545580037E+000         4.6797476008E+002         4.7827501870E+002         1.3886667831E+000         1.7237642494E+000         
2022-07-15                06:37:59.128              194.94304546              4678.633091               195.94304546              1657867079.128            0                         963                       1.3999507141E+002         4.4999992371E+001         3.4187500000E+001         4.5304771423E+001         4.4999534607E+001         3.0000000000E+000         3.0000000000E+000         3.0787330078E+004         0.0000000000E+000         2.1162986721E+000         2.1543194336E+000         4.6797476008E+002         4.7825343197E+002         1.3902760418E+000         1.7256817683E+000         
2022-07-15                06:38:00.548              194.94306190              4678.633486               195.94306190              1657867080.548            0                         963                       1.3997915649E+002         4.4999900818E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         2.0000000000E+000         3.0000000000E+000         3.0779765770E+004         0.0000000000E+000         2.1167822270E+000         2.1543194336E+000         4.6797476008E+002         4.7825343197E+002         1.3902760418E+000         1.7256817683E+000         
2022-07-15                06:38:01.447              194.94307230              4678.633735               195.94307230              1657867081.447            0                         963                       1.4001162004E+002         4.4999900818E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         1.0000000000E+000         3.0000000000E+000         3.0790701641E+004         0.0000000000E+000         2.1167822270E+000         2.1543194336E+000         4.6798771622E+002         4.7825343197E+002         1.3902760418E+000         1.7256817683E+000         
2022-07-15                06:38:01.947              194.94307810              4678.633874               195.94307810              1657867081.948            0                         963                       1.3998332919E+002         4.4999900818E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         3.0000000000E+000         3.0000000000E+000         3.0782959135E+004         0.0000000000E+000         2.1167822270E+000         2.1547966533E+000         4.6798771622E+002         4.7826260931E+002         1.3875870148E+000         1.7224775511E+000         
2022-07-15                06:38:03.368              194.94309455              4678.634269               195.94309455              1657867083.369            0                         963                       1.4001047399E+002         4.4999900818E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         2.0000000000E+000         3.0000000000E+000         3.0788962953E+004         0.0000000000E+000         2.1169027106E+000         2.1547966533E+000         4.6798771622E+002         4.7826260931E+002         1.3875870148E+000         1.7224775511E+000         
2022-07-15                06:38:04.273              194.94310501              4678.634520               195.94310501              1657867084.273            0                         963                       1.4000244115E+002         4.4999900818E+001         3.4187500000E+001         4.5304771423E+001         4.4999626160E+001         1.0000000000E+000         3.0000000000E+000         3.0787351661E+004         0.0000000000E+000         2.1169027106E+000         2.1547966533E+000         4.6802501238E+002         4.7826260931E+002         1.3875870148E+000         1.7224775511E+000         
2022-07-15                06:38:04.773              194.94311081              4678.634659               195.94311081              1657867084.774            0                         963                       1.4000922805E+002         4.4999873822E+001         3.4187500000E+001         4.5304879409E+001         4.4999761141E+001         3.0000000000E+000         3.0000000000E+000         3.0789916166E+004         0.0000000000E+000         2.1169027106E+000         2.1548988905E+000         4.6802501238E+002         4.7829520359E+002         1.3888089283E+000         1.7239336299E+000         
2022-07-15                06:38:06.203              194.94312736              4678.635057               195.94312736              1657867086.204            0                         963                       1.4000384545E+002         4.4999870300E+001         3.4187500000E+001         4.5304893494E+001         4.4999778748E+001         2.0000000000E+000         3.0000000000E+000         3.0789100888E+004         0.0000000000E+000         2.1168345080E+000         2.1548988905E+000         4.6802501238E+002         4.7829520359E+002         1.3888089283E+000         1.7239336299E+000         
2022-07-15                06:38:07.115              194.94313792              4678.635310               195.94313792              1657867087.116            0                         963                       1.3999145761E+002         4.4999870300E+001         3.4187500000E+001         4.5304893494E+001         4.4999778748E+001         1.0000000000E+000         3.0000000000E+000         3.0785151545E+004         0.0000000000E+000         2.1168345080E+000         2.1548988905E+000         4.6797780584E+002         4.7829520359E+002         1.3888089283E+000         1.7239336299E+000         
2022-07-15                06:38:07.624              194.94314380              4678.635451               195.94314380              1657867087.624            0                         963                       1.4000140381E+002         4.4999870300E+001         3.4187500000E+001         4.5304893494E+001         4.4999778748E+001         3.0000000000E+000         3.0000000000E+000         3.0787191406E+004         0.0000000000E+000         2.1168345080E+000         2.1548387912E+000         4.6797780584E+002         4.7824948398E+002         1.3882574607E+000         1.7232764923E+000         
2022-07-15                06:38:09.052              194.94316034              4678.635848               195.94316034              1657867089.053            0                         963                       1.4000718106E+002         4.4999870300E+001         3.4187500000E+001         4.5304893494E+001         4.4999778748E+001         2.0000000000E+000         3.0000000000E+000         3.0789745910E+004         0.0000000000E+000         2.1172115002E+000         2.1548387912E+000         4.6797780584E+002         4.7824948398E+002         1.3882574607E+000         1.7232764923E+000         
2022-07-15                06:38:09.966              194.94317090              4678.636102               195.94317090              1657867089.966            0                         963                       1.3998532973E+002         4.4999870300E+001         3.4187500000E+001         4.5304871406E+001         4.4999756660E+001         1.0000000000E+000         3.0000000000E+000         3.0783441298E+004         0.0000000000E+000         2.1172115002E+000         2.1548387912E+000         4.6797570975E+002         4.7824948398E+002         1.3882574607E+000         1.7232764923E+000         
2022-07-15                06:38:10.473              194.94317678              4678.636243               195.94317678              1657867090.474            0                         963                       1.4000849504E+002         4.4999870300E+001         3.4187500000E+001         4.5304862976E+001         4.4999748230E+001         3.0000000000E+000         3.0000000000E+000         3.0788582557E+004         0.0000000000E+000         2.1172115002E+000         2.1552147284E+000         4.6797570975E+002         4.7824522629E+002         1.3882466805E+000         1.7232636462E+000         
2022-07-15                06:38:11.895              194.94319324              4678.636638               195.94319324              1657867091.896            0                         963                       1.3997100975E+002         4.4999870300E+001         3.4187500000E+001         4.5304862976E+001         4.4999748230E+001         2.0000000000E+000         3.0000000000E+000         3.0780138352E+004         0.0000000000E+000         2.1166852557E+000         2.1552147284E+000         4.6797570975E+002         4.7824522629E+002         1.3882466805E+000         1.7232636462E+000         
2022-07-15                06:38:12.799              194.94320369              4678.636889               195.94320369              1657867092.799            0                         963                       1.3999054032E+002         4.4999870300E+001         3.4187500000E+001         4.5304862976E+001         4.4999748230E+001         1.0000000000E+000         3.0000000000E+000         3.0783794507E+004         0.0000000000E+000         2.1166852557E+000         2.1552147284E+000         4.6796936054E+002         4.7824522629E+002         1.3882466805E+000         1.7232636462E+000         
2022-07-15                06:38:13.309              194.94320959              4678.637030               195.94320959              1657867093.309            0                         963                       1.3999424744E+002         4.4999870300E+001         3.4187500000E+001         4.5304862976E+001         4.4999748230E+001         3.0000000000E+000         3.0000000000E+000         3.0782011719E+004         0.0000000000E+000         2.1166852557E+000         2.1546924107E+000         4.6796936054E+002         4.7824235488E+002         1.3892187768E+000         1.7244219990E+000         
2022-07-15                06:38:14.730              194.94322605              4678.637425               195.94322605              1657867094.731            0                         963                       1.3998999564E+002         4.4999824282E+001         3.4187500000E+001         4.5304893655E+001         4.4999671532E+001         2.0000000000E+000         3.0000000000E+000         3.0783155733E+004         0.0000000000E+000         2.1170553032E+000         2.1546924107E+000         4.6796936054E+002         4.7824235488E+002         1.3892187768E+000         1.7244219990E+000         
2022-07-15                06:38:15.634              194.94323652              4678.637676               195.94323652              1657867095.635            0                         963                       1.3999984238E+002         4.4999778748E+001         3.4187500000E+001         4.5304924011E+001         4.4999595642E+001         1.0000000000E+000         3.0000000000E+000         3.0784165808E+004         0.0000000000E+000         2.1170553032E+000         2.1546924107E+000         4.6801400777E+002         4.7824235488E+002         1.3892187768E+000         1.7244219990E+000         
2022-07-15                06:38:16.142              194.94324240              4678.637817               195.94324240              1657867096.143            0                         963                       1.4000979614E+002         4.4999778748E+001         3.4187500000E+001         4.5304924011E+001         4.4999595642E+001         3.0000000000E+000         3.0000000000E+000         3.0787173828E+004         0.0000000000E+000         2.1170553032E+000         2.1550700496E+000         4.6801400777E+002         4.7828823831E+002         1.3883147340E+000         1.7233447410E+000         
2022-07-15                06:38:17.572              194.94325895              4678.638215               195.94325895              1657867097.573            0                         963                       1.3999044816E+002         4.4999778748E+001         3.4187500000E+001         4.5304924011E+001         4.4999595642E+001         2.0000000000E+000         3.0000000000E+000         3.0783388979E+004         0.0000000000E+000         2.1172650780E+000         2.1550700496E+000         4.6801400777E+002         4.7828823831E+002         1.3883147340E+000         1.7233447410E+000         
2022-07-15                06:38:18.487              194.94326954              4678.638469               195.94326954              1657867098.488            0                         963                       1.4001421714E+002         4.4999778748E+001         3.4187500000E+001         4.5304924011E+001         4.4999595642E+001         1.0000000000E+000         3.0000000000E+000         3.0790715124E+004         0.0000000000E+000         2.1172650780E+000         2.1550700496E+000         4.6800740688E+002         4.7828823831E+002         1.3883147340E+000         1.7233447410E+000         
2022-07-15                06:38:18.993              194.94327539              4678.638609               195.94327539              1657867098.994            0                         963                       1.3999025550E+002         4.4999778748E+001         3.4187500000E+001         4.5304924011E+001         4.4999595642E+001         3.0000000000E+000         3.0000000000E+000         3.0785251502E+004         0.0000000000E+000         2.1172650780E+000         2.1552983350E+000         4.6800740688E+002         4.7828547973E+002         1.3902783748E+000         1.7256845480E+000         
2022-07-15                06:38:20.430              194.94329203              4678.639009               195.94329203              1657867100.431            0                         963                       1.3998841842E+002         4.4999778748E+001         3.4187500000E+001         4.5304954529E+001         4.4999748230E+001         2.0000000000E+000         3.0000000000E+000         3.0782070118E+004         0.0000000000E+000         2.1176369866E+000         2.1552983350E+000         4.6800740688E+002         4.7828547973E+002         1.3902783748E+000         1.7256845480E+000         
2022-07-15                06:38:21.346              194.94330263              4678.639263               195.94330263              1657867101.347            0                         963                       1.4000345169E+002         4.4999778748E+001         3.4187500000E+001         4.5304954529E+001         4.4999748230E+001         1.0000000000E+000         3.0000000000E+000         3.0788959632E+004         0.0000000000E+000         2.1176369866E+000         2.1552983350E+000         4.6800019887E+002         4.7828547973E+002         1.3902783748E+000         1.7256845480E+000         
2022-07-15                06:38:21.852              194.94330848              4678.639404               195.94330848              1657867101.853            0                         963                       1.3997946167E+002         4.4999778748E+001         3.4187500000E+001         4.5304954529E+001         4.4999748230E+001         3.0000000000E+000         3.0000000000E+000         3.0781914063E+004         0.0000000000E+000         2.1176369866E+000         2.1556784049E+000         4.6800019887E+002         4.7827851374E+002         1.3884211106E+000         1.7234715022E+000         
2022-07-15                06:38:23.276              194.94332497              4678.639799               195.94332497              1657867103.277            0                         963                       1.3999716937E+002         4.4999778748E+001         3.4187500000E+001         4.5304954529E+001         4.4999748230E+001         2.0000000000E+000         3.0000000000E+000         3.0785719329E+004         0.0000000000E+000         2.1173252214E+000         2.1556784049E+000         4.6800019887E+002         4.7827851374E+002         1.3884211106E+000         1.7234715022E+000         
2022-07-15                06:38:24.177              194.94333539              4678.640049               195.94333539              1657867104.178            0                         963                       1.3999445688E+002         4.4999778748E+001         3.4187500000E+001         4.5304954529E+001         4.4999748230E+001         1.0000000000E+000         3.0000000000E+000         3.0785728177E+004         0.0000000000E+000         2.1173252214E+000         2.1556784049E+000         4.6802397107E+002         4.7827851374E+002         1.3884211106E+000         1.7234715022E+000         
