DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2022-06-10                22:35:46.976              160.60818259              3854.596382               161.60818259              1654900546.976            0                         963                       1.3999378443E+002         4.5000114441E+001         3.3562500000E+001         4.5305259705E+001         4.5000450134E+001         2.0000000000E+000         1.0000000000E+000         3.0686962674E+004         0.0000000000E+000         1.8887048604E+000         0.0000000000E+000         4.6170835463E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:47.878              160.60819304              3854.596633               161.60819304              1654900547.879            0                         963                       1.3998191978E+002         4.5000114441E+001         3.3562500000E+001         4.5305259705E+001         4.5000450134E+001         1.0000000000E+000         1.0000000000E+000         3.0681541092E+004         0.0000000000E+000         1.8887048604E+000         0.0000000000E+000         4.6077399624E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:48.381              160.60819887              3854.596773               161.60819887              1654900548.382            0                         963                       1.4002236938E+002         4.5000114441E+001         3.3562500000E+001         4.5305259705E+001         4.5000450134E+001         3.0000000000E+000         1.0000000000E+000         3.0692210938E+004         0.0000000000E+000         1.8887048604E+000         0.0000000000E+000         4.6077399624E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:49.806              160.60821536              3854.597169               161.60821536              1654900549.807            0                         963                       1.4021594626E+002         4.5000097810E+001         3.3562500000E+001         4.5305326230E+001         4.5000483397E+001         2.0000000000E+000         1.6000000000E+001         3.0790041150E+004         0.0000000000E+000         1.8904678143E+000         0.0000000000E+000         4.6077399624E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:50.710              160.60822582              3854.597420               161.60822582              1654900550.711            0                         963                       1.4004090881E+002         4.5000083923E+001         3.3562500000E+001         4.5305381775E+001         4.5000511169E+001         1.0000000000E+000         1.6000000000E+001         3.0765347929E+004         0.0000000000E+000         1.8904678143E+000         0.0000000000E+000         4.5971904957E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:51.216              160.60823167              3854.597560               161.60823167              1654900551.216            0                         963                       1.4004142761E+002         4.5000083923E+001         3.3562500000E+001         4.5305381775E+001         4.5000511169E+001         3.0000000000E+000         1.6000000000E+001         3.0776267578E+004         0.0000000000E+000         1.8904678143E+000         0.0000000000E+000         4.5971904957E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:52.644              160.60824819              3854.597957               161.60824819              1654900552.644            0                         963                       1.3999841644E+002         4.5000083923E+001         3.3562500000E+001         4.5305381775E+001         4.5000511169E+001         2.0000000000E+000         1.6000000000E+001         3.0768458350E+004         0.0000000000E+000         1.8969237159E+000         0.0000000000E+000         4.5971904957E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:53.558              160.60825877              3854.598211               161.60825877              1654900553.558            0                         963                       1.3998734355E+002         4.5000083923E+001         3.3562500000E+001         4.5305381775E+001         4.5000511169E+001         1.0000000000E+000         1.6000000000E+001         3.0764535847E+004         0.0000000000E+000         1.8969237159E+000         0.0000000000E+000         4.2901157598E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:54.065              160.60826465              3854.598352               161.60826465              1654900554.066            0                         963                       1.4003207397E+002         4.5000083923E+001         3.3562500000E+001         4.5305381775E+001         4.5000511169E+001         3.0000000000E+000         1.6000000000E+001         3.0777070313E+004         0.0000000000E+000         1.8969237159E+000         0.0000000000E+000         4.2901157598E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-06-10                22:35:55.500              160.60828125              3854.598750               161.60828125              1654900555.500            0                         963                       1.3999723752E+002         4.4999870300E+001         3.3562500000E+001         4.5305473328E+001         4.5000358582E+001         2.0000000000E+000         1.6000000000E+001         3.0769829454E+004         0.0000000000E+000         1.9053783343E+000         0.0000000000E+000         4.2901157598E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
